timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1742003728764,1106,01- Open URL,200,"Number of samples in transaction : 2, number of failing samples : 0",Scenario1-Search- jp@gc - Ultimate Thread Group 1-61,,true,,7116,988,3,4,null,0,100,730
1742003728856,922,1-Open Pets Store,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-61,text,true,,1452,459,3,4,https://petstore.octoperf.com/,922,0,730
1742003729779,184,2-Enter the store,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-61,text,true,,5664,529,3,4,https://petstore.octoperf.com/actions/Catalog.action,183,0,0
1742003729319,754,02_01_OpenURL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario2-View Details- jp@gc - Ultimate Thread Group 2-30,,true,,5664,529,1,4,null,0,4,567
1742003729320,754,02_01_OpenURL,200,,Scenario2-View Details- jp@gc - Ultimate Thread Group 2-30,text,true,,5664,529,1,4,https://petstore.octoperf.com/actions/Catalog.action,754,0,567
1742003729255,935,01- Open URL,200,"Number of samples in transaction : 2, number of failing samples : 0",Scenario1-Search- jp@gc - Ultimate Thread Group 1-60,,true,,7116,988,3,4,null,0,2,566
1742003729255,752,1-Open Pets Store,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-60,text,true,,1452,459,3,4,https://petstore.octoperf.com/,752,0,566
1742003730008,183,2-Enter the store,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-60,text,true,,5664,529,3,4,https://petstore.octoperf.com/actions/Catalog.action,182,0,0
1742003729744,931,01- Open URL,200,"Number of samples in transaction : 2, number of failing samples : 0",Scenario1-Search- jp@gc - Ultimate Thread Group 1-59,,true,,7116,988,4,6,null,0,3,565
1742003729745,749,1-Open Pets Store,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-59,text,true,,1452,459,4,6,https://petstore.octoperf.com/,749,0,565
1742003730495,182,2-Enter the store,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-59,text,true,,5664,529,4,6,https://petstore.octoperf.com/actions/Catalog.action,181,0,0
1742003730319,766,02_01_OpenURL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario2-View Details- jp@gc - Ultimate Thread Group 2-29,,true,,5664,529,2,7,null,0,1,566
1742003730319,766,02_01_OpenURL,200,,Scenario2-View Details- jp@gc - Ultimate Thread Group 2-29,text,true,,5664,529,2,7,https://petstore.octoperf.com/actions/Catalog.action,766,0,566
1742003730239,930,01- Open URL,200,"Number of samples in transaction : 2, number of failing samples : 0",Scenario1-Search- jp@gc - Ultimate Thread Group 1-58,,true,,7116,988,5,7,null,0,1,560
